# generated by tools/gen-entropy-model.py -- do not edit
# exact entropy of the word part, under no-repeat drawing and pooled mix.
# digits are uniform and independent and are added by the app.
# pool sizes: adjective=2675, noun=2782, verb=2893
# language	type	words	hmin	h2
nl	adjective	5	40.516343655	40.516343655
pl	adjective	5	40.516343655	40.516343655
ro	adjective	5	39.828806005	39.828806005
la	adjective	5	40.083933902	40.083933902
mix	adjective	5	56.921219602	56.921219602
random	adjective	5	42.129824471	43.866820585
en	verb	1	8.228818690	8.228818690
no	verb	1	8.164906927	8.164906927
pt	verb	1	8.139551352	8.139551352
es	verb	1	8.139551352	8.139551352
de	verb	1	8.118941073	8.118941073
fr	verb	1	8.144658243	8.144658243
it	verb	1	8.124121312	8.124121312
nl	verb	1	8.134426320	8.134426320
pl	verb	1	8.139551352	8.139551352
ro	verb	1	8.108524457	8.108524457
la	verb	1	8.038918989	8.038918989
mix	verb	1	11.498350608	11.498350608
random	verb	1	10.015720759	11.412420236
en	verb	2	16.452820365	16.452820365
no	verb	2	16.324778263	16.324778263
pt	verb	2	16.273977673	16.273977673
es	verb	2	16.273977673	16.273977673
de	verb	2	16.232683239	16.232683239
fr	verb	2	16.284209595	16.284209595
it	verb	2	16.243062385	16.243062385
nl	verb	2	16.263709337	16.263709337
pl	verb	2	16.273977673	16.273977673
ro	verb	2	16.211812265	16.211812265
la	verb	2	16.072341991	16.072341991
mix	verb	2	22.996202445	22.996202445
random	verb	2	18.151849375	19.661404660
en	verb	3	24.671988885	24.671988885
no	verb	3	24.479596373	24.479596373
pt	verb	3	24.403260690	24.403260690
es	verb	3	24.403260690	24.403260690
de	verb	3	24.341207696	24.341207696
fr	verb	3	24.418635915	24.418635915
it	verb	3	24.356804551	24.356804551
nl	verb	3	24.387830649	24.387830649
pl	verb	3	24.403260690	24.403260690
ro	verb	3	24.309844348	24.309844348
la	verb	3	24.100247987	24.100247987
mix	verb	3	34.493555338	34.493555338
random	verb	3	26.282836698	27.817289742
en	verb	4	32.886308006	32.886308006
no	verb	4	32.629343492	32.629343492
pt	verb	4	32.527382001	32.527382001
es	verb	4	32.527382001	32.527382001
de	verb	4	32.444495504	32.444495504
fr	verb	4	32.547918932	32.547918932
it	verb	4	32.465329007	32.465329007
nl	verb	4	32.506771722	32.506771722
pl	verb	4	32.527382001	32.527382001
ro	verb	4	32.402601489	32.402601489
la	verb	4	32.122615800	32.122615800
